student_id,age,gender,program,cgpa,attendance_pct,study_hours_week,city,join_date
1001,19.0,M,CSE,8.2,92.0,12.0,Dehradun,2025-01-10
1002,20.0,F,CSE,7.5,85.0,10.0,Dehradun,2025-01-12
1003,19.0,M,ECE,8.9,87.5,8.0,Haridwar,2025-01-15
1004,21.0,F,AIML,9.1,88.0,15.0,Rishikesh,2025-01-15
1005,22.0,M,CSE,8.0,70.0,5.0,Dehradun,2025-01-18
1006,18.0,,ECE,6.8,90.0,10.0,Haldwani,2025-01-20
1007,20.0,M,ME,7.1,87.5,6.0,Delhi,2025-01-25
1008,19.0,F,AIML,8.0,95.0,20.0,Noida,2025-01-27
1009,20.0,M,CSE,8.0,80.0,10.0,Dehradun,2025-01-30
1010,21.0,F,CSE,8.0,75.0,9.0,Gurugram,2025-02-01
1011,19.0,M,CSE,8.4,88.0,11.0,Gurugram,2025-02-05
1012,20.0,F,EEE,7.8,86.0,10.0,Lucknow,2025-02-07
1013,20.0,F,EEE,8.0,84.0,12.0,Lucknow,2025-02-10
1014,23.0,M,CSE,7.2,82.0,13.0,Dehradun,2025-02-11
1015,17.0,F,ECE,6.5,89.0,14.0,Dehradun,2025-02-14
1016,20.0,M,CSE,7.9,90.0,8.0,Dehradun,2025-02-15
1017,20.0,F,AIML,8.7,87.5,16.0,Dehradun,2025-02-17
1018,19.0,M,CSE,8.1,91.0,10.0,Dehradun,
1019,19.0,F,CSE,8.3,87.0,7.0,Dehradun,2025-02-20
