student_id,program,gender,attendance_pct,study_hours_week,cgpa,final_marks,hostel,join_date
3001,CSE,M,92,12,8.2,78,Yes,2025-01-10
3002,CSE,F,85,10,7.5,72,No,2025-01-12
3003,ECE,M,88,8,8.9,70,Yes,2025-01-15
3004,AIML,F,90,15,9.1,85,Yes,2025-01-20
3005,CSE,M,75,9,8.0,65,No,2025-02-01
3006,ECE,F,89,14,6.8,74,Yes,2025-02-05
3007,CSE,M,95,20,8.4,90,Yes,2025-02-10
3008,AIML,F,82,7,7.8,68,No,2025-02-14
3009,ECE,M,78,6,7.2,60,No,2025-03-01
3010,CSE,F,87,13,6.5,75,Yes,2025-03-05
3011,AIML,M,93,18,8.7,88,Yes,2025-03-10
3012,CSE,F,88,11,8.1,77,No,2025-03-12
3013,ECE,M,60,4,6.9,55,No,2025-03-15
3014,CSE,M,98,,7.9,82,Yes,2025-03-18
3015,AIML,F,84,9,,71,No,2025-03-20
3016,ECE,F,10,2,7.0,40,No,2025-03-22
3017,CSE,M,105,16,8.3,95,Yes,2025-03-25
3018,AIML,M,91,14,8.6,150,Yes,2025-03-28
3019,CSE,F,86,12,7.4,73,No,2025-04-01
3020,ECE,M,80,8,7.6,69,No,2025-04-05
